_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
1,2012Q1,S08000015,"",S08000015,All Cancer Types,d,169,"",164,""
2,2012Q1,S08000015,"",S08000015,Breast,"",52,"",52,""
3,2012Q1,S08000015,"",S08000015,Cervical,"",2,"",2,""
4,2012Q1,S08000015,"",S08000015,Colorectal,"",31,"",29,""
5,2012Q1,S08000015,"",S08000015,Head & Neck,"",2,"",2,""
6,2012Q1,S08000015,"",S08000015,Lung,"",34,"",33,""
7,2012Q1,S08000015,"",S08000015,Lymphoma,"",10,"",9,""
8,2012Q1,S08000015,"",S08000015,Melanoma,"",2,"",2,""
9,2012Q1,S08000015,"",S08000015,Ovarian,"",2,"",2,""
10,2012Q1,S08000015,"",S08000015,Upper GI,"",22,"",22,""
11,2012Q1,S08000015,"",S08000015,Urological,"",12,"",11,""
12,2012Q1,S08000015,"",S08000017,All Cancer Types,d,2,"",2,""
13,2012Q1,S08000015,"",S08000017,Breast,"",2,"",2,""
14,2012Q1,S08000015,"",S08000020,All Cancer Types,d,1,"",1,""
15,2012Q1,S08000015,"",S08000020,Lung,"",1,"",1,""
16,2012Q1,S08000015,"",S08000031,All Cancer Types,d,26,"",21,""
17,2012Q1,S08000015,"",S08000031,Breast,"",5,"",3,""
18,2012Q1,S08000015,"",S08000031,Cervical,"",1,"",1,""
19,2012Q1,S08000015,"",S08000031,Colorectal,"",1,"",1,""
20,2012Q1,S08000015,"",S08000031,Head & Neck,"",1,"",1,""
21,2012Q1,S08000015,"",S08000031,Lung,"",7,"",7,""
22,2012Q1,S08000015,"",S08000031,Melanoma,"",1,"",0,""
23,2012Q1,S08000015,"",S08000031,Ovarian,"",3,"",2,""
24,2012Q1,S08000015,"",S08000031,Upper GI,"",6,"",5,""
25,2012Q1,S08000015,"",S08000031,Urological,"",1,"",1,""
26,2012Q1,S08000015,"",SB0801,All Cancer Types,d,2,"",2,""
27,2012Q1,S08000015,"",SB0801,Lung,"",2,"",2,""
28,2012Q1,S08000016,"",S08000016,All Cancer Types,d,61,"",61,""
29,2012Q1,S08000016,"",S08000016,Breast,"",6,"",6,""
30,2012Q1,S08000016,"",S08000016,Cervical,"",1,"",1,""
31,2012Q1,S08000016,"",S08000016,Colorectal,"",13,"",13,""
32,2012Q1,S08000016,"",S08000016,Head & Neck,"",1,"",1,""
33,2012Q1,S08000016,"",S08000016,Lung,"",13,"",13,""
34,2012Q1,S08000016,"",S08000016,Lymphoma,"",3,"",3,""
35,2012Q1,S08000016,"",S08000016,Melanoma,"",3,"",3,""
36,2012Q1,S08000016,"",S08000016,Ovarian,"",2,"",2,""
37,2012Q1,S08000016,"",S08000016,Upper GI,"",6,"",6,""
38,2012Q1,S08000016,"",S08000016,Urological,"",13,"",13,""
39,2012Q1,S08000016,"",S08000024,All Cancer Types,d,10,"",9,""
40,2012Q1,S08000016,"",S08000024,Breast,"",1,"",1,""
41,2012Q1,S08000016,"",S08000024,Colorectal,"",2,"",1,""
42,2012Q1,S08000016,"",S08000024,Head & Neck,"",1,"",1,""
43,2012Q1,S08000016,"",S08000024,Lung,"",3,"",3,""
44,2012Q1,S08000016,"",S08000024,Melanoma,"",1,"",1,""
45,2012Q1,S08000016,"",S08000024,Upper GI,"",1,"",1,""
46,2012Q1,S08000016,"",S08000024,Urological,"",1,"",1,""
47,2012Q1,S08000017,"",S08000017,All Cancer Types,d,83,"",83,""
48,2012Q1,S08000017,"",S08000017,Breast,"",8,"",8,""
49,2012Q1,S08000017,"",S08000017,Colorectal,"",20,"",20,""
50,2012Q1,S08000017,"",S08000017,Head & Neck,"",2,"",2,""
51,2012Q1,S08000017,"",S08000017,Lung,"",12,"",12,""
